state,county,sex,age,race,hispanic,educ,empstat,hrs_wk,income,deg_bachelors,deg_masters,deg_profession,deg_phd,i_female,i_black,i_white,i_hispanic,i_workforce,i_employed
04,04013,Male,46,Other,Hispanic,12,Employed,40,17000,0,0,0,0,0,0,0,1,1,1
12,12057,Male,50,White,Non-Hispanic,17,Employed,45,595000,1,0,1,0,0,0,1,0,1,1
22,22000,Male,66,White,Non-Hispanic,12,Employed,40,123100,0,0,0,0,0,0,1,0,1,1
06,06071,Male,48,Other,Hispanic,13,Employed,40,110000,0,0,0,0,0,0,0,1,1,1
36,36085,Male,59,White,Non-Hispanic,12,Employed,30,83000,0,0,0,0,0,0,1,0,1,1
36,36081,Female,21,Other,Non-Hispanic,13,Not in labor force,0,50,0,0,0,0,1,0,0,0,0,0
53,53061,Female,31,White,Non-Hispanic,12,Employed,40,98000,0,0,0,0,1,0,1,0,1,1
36,36000,Male,36,White,Non-Hispanic,12,Employed,40,70000,0,0,0,0,0,0,1,0,1,1
48,48121,Male,27,White,Non-Hispanic,16,Employed,40,63000,1,0,0,0,0,0,1,0,1,1
26,26121,Male,77,White,Non-Hispanic,14,Not in labor force,0,23000,0,0,0,0,0,0,1,0,0,0
37,37119,Male,49,White,Non-Hispanic,17,Employed,50,74000,1,0,0,1,0,0,1,0,1,1
06,06071,Female,58,Other,Hispanic,12,Not in labor force,0,0,0,0,0,0,1,0,0,1,0,0
42,42133,Female,73,White,Non-Hispanic,17,Not in labor force,0,15900,1,1,0,0,1,0,1,0,0,0
34,34021,Male,76,White,Non-Hispanic,14,Not in labor force,0,43400,0,0,0,0,0,0,1,0,0,0
29,29000,Male,27,White,Non-Hispanic,16,Employed,40,80000,1,0,0,0,0,0,1,0,1,1
09,09180,Female,38,Other,Hispanic,14,Employed,45,54000,0,0,0,0,1,0,0,1,1,1
06,06001,Female,74,Other,Non-Hispanic,17,Not in labor force,0,13800,1,1,0,0,1,0,0,0,0,0
24,24027,Female,32,White,Non-Hispanic,16,Not in labor force,0,0,1,0,0,0,1,0,1,0,0,0
37,37081,Female,21,Other,Hispanic,13,Employed,25,19800,0,0,0,0,1,0,0,1,1,1
06,06111,Female,51,White,Non-Hispanic,16,Employed,40,140000,1,0,0,0,1,0,1,0,1,1
47,47157,Female,33,Black,Non-Hispanic,12,Employed,40,50000,0,0,0,0,1,1,0,0,1,1
31,31055,Female,27,White,Non-Hispanic,16,Employed,40,80000,1,0,0,0,1,0,1,0,1,1
06,06071,Female,74,White,Non-Hispanic,12,Not in labor force,0,52000,0,0,0,0,1,0,1,0,0,0
04,04013,Female,39,White,Non-Hispanic,16,Not in labor force,0,13300,1,0,0,0,1,0,1,0,0,0
48,48000,Female,68,White,Non-Hispanic,17,Not in labor force,0,33200,1,0,1,0,1,0,1,0,0,0
12,12103,Female,80,Black,Non-Hispanic,16,Employed,40,50000,1,0,0,0,1,1,0,0,1,1
06,06019,Female,94,Other,Hispanic,,Not in labor force,0,0,0,0,0,0,1,0,0,1,0,0
48,48085,Female,74,White,Non-Hispanic,17,Not in labor force,0,52900,1,1,0,0,1,0,1,0,0,0
55,55000,Male,28,White,Non-Hispanic,12,Employed,40,40000,0,0,0,0,0,0,1,0,1,1
37,37000,Male,77,White,Non-Hispanic,16,Not in labor force,0,61000,1,0,0,0,0,0,1,0,0,0
25,25021,Female,49,Other,Non-Hispanic,12,Employed,24,14400,0,0,0,0,1,0,0,0,1,1
37,37183,Female,60,White,Non-Hispanic,16,Employed,60,535000,1,0,0,0,1,0,1,0,1,1
48,48339,Male,23,White,Non-Hispanic,13,Employed,60,69250,0,0,0,0,0,0,1,0,1,1
06,06097,Male,73,White,Non-Hispanic,16,Employed,40,66000,1,0,0,0,0,0,1,0,1,1
22,22073,Male,20,Other,Non-Hispanic,13,Not in labor force,0,0,0,0,0,0,0,0,0,0,0,0
06,06081,Male,60,Other,Non-Hispanic,17,Employed,40,28800,1,1,0,0,0,0,0,0,1,1
51,51710,Male,79,Black,Non-Hispanic,12,Not in labor force,0,6000,0,0,0,0,0,1,0,0,0,0
50,50000,Male,40,White,Non-Hispanic,12,Employed,70,95000,0,0,0,0,0,0,1,0,1,1
48,48201,Male,49,Black,Non-Hispanic,17,Employed,50,123000,1,1,0,0,0,1,0,0,1,1
48,48167,Female,41,Other,Hispanic,,Employed,40,25000,0,0,0,0,1,0,0,1,1,1
55,55117,Male,55,White,Non-Hispanic,12,Employed,40,174000,0,0,0,0,0,0,1,0,1,1
36,36061,Male,49,White,Hispanic,16,Employed,50,40000,1,0,0,0,0,0,1,1,1,1
25,25005,Female,86,White,Non-Hispanic,12,Not in labor force,0,35500,0,0,0,0,1,0,1,0,0,0
19,19103,Female,69,White,Non-Hispanic,16,Not in labor force,0,49200,1,0,0,0,1,0,1,0,0,0
22,22000,Female,75,White,Non-Hispanic,12,Not in labor force,0,10500,0,0,0,0,1,0,1,0,0,0
12,12071,Female,18,Other,Hispanic,11,Not in labor force,0,0,0,0,0,0,1,0,0,1,0,0
27,27053,Male,72,White,Non-Hispanic,17,Not in labor force,3,60950,1,1,0,0,0,0,1,0,0,0
08,08069,Male,75,Other,Hispanic,13,Not in labor force,0,38000,0,0,0,0,0,0,0,1,0,0
01,01000,Male,58,White,Non-Hispanic,12,Employed,40,15000,0,0,0,0,0,0,1,0,1,1
17,17000,Male,25,Other,Non-Hispanic,12,Employed,40,27000,0,0,0,0,0,0,0,0,1,1
12,12115,Female,62,White,Non-Hispanic,14,Employed,36,50000,0,0,0,0,1,0,1,0,1,1
20,20000,Female,67,White,Non-Hispanic,12,Not in labor force,0,9300,0,0,0,0,1,0,1,0,0,0
56,56000,Female,73,White,Non-Hispanic,12,Not in labor force,0,7300,0,0,0,0,1,0,1,0,0,0
54,54000,Female,82,Black,Non-Hispanic,12,Not in labor force,0,31200,0,0,0,0,1,1,0,0,0,0
